STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-11,89,58
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-12,86,58
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-13,80,58
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-14,77,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-15,73,52
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-16,82,51
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-17,86,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-18,79,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-19,82,51
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-20,86,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-21,76,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-22,74,51
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-23,80,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-24,86,52
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-25,87,57
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-26,85,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-27,83,62
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-28,80,61
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-29,83,58
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-30,90,59
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-01,82,62
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-02,83,63
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-03,86,63
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-04,87,64
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-05,84,62
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-06,78,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-07,79,60
